seed,epoch,epoch_total,member,train_batch_size,data_build_s,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,lr_sched_start,lr_sched_end,pbt_lr,pbt_batch_size,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs
38042,7,70,4,128,1.6930818557739258,17.87935447692871,1.3754944801330566,1.3363,51.52,49.94,0.000356,0.000356,0.000356,128,0.118,0.127,5.0
38042,8,70,0,64,1.6738393306732178,33.93749785423279,1.4285712242126465,1.2873,53.3,53.73,0.000189,0.000188,0.000188,64,,,
38042,8,70,1,128,1.6875545978546143,18.0236873626709,1.3741862773895264,1.2858,53.43,53.99,0.000138,0.000207,0.000207,128,0.118,0.127,5.0
38042,8,70,2,256,1.6755495071411133,10.12879729270935,1.3701179027557373,1.3013,52.78,54.1,0.000465,0.000463,0.000463,256,0.13,0.106,5.0
38042,8,70,3,64,1.690535068511963,34.544416666030884,1.4110491275787354,1.2797,53.77,54.5,0.000262,0.000261,0.000261,64,0.15,0.079,5.0
38042,8,70,4,128,1.6722733974456787,17.607102155685425,1.3894829750061035,1.2976,53.24,55.21,0.000356,0.000355,0.000355,128,0.118,0.127,5.0
38042,9,70,0,64,1.687241792678833,34.6395103931427,1.384911298751831,1.2386,55.14,56.77,0.000188,0.000188,0.000188,64,,,
38042,9,70,1,128,1.6774811744689941,17.36263394355774,1.4826011657714844,1.282,53.51,53.76,0.000207,0.000276,0.000276,128,0.118,0.127,5.0
38042,9,70,2,256,1.683210849761963,10.252201557159424,1.376755714416504,1.2626,54.48,56.45,0.000463,0.000461,0.000461,256,0.13,0.106,5.0
38042,9,70,3,64,1.6789286136627197,33.09297800064087,1.4536314010620117,1.2325,55.65,56.57,0.000261,0.00026,0.00026,64,0.15,0.079,5.0
38042,9,70,4,128,1.6859145164489746,17.47275972366333,1.4432401657104492,1.2533,54.71,56.83,0.000355,0.000353,0.000353,128,0.118,0.127,5.0
38042,10,70,0,64,1.6797003746032715,33.652220726013184,1.405571460723877,1.2038,56.61,57.42,0.000188,0.000187,0.000187,64,,,
38042,10,70,1,128,1.6863749027252197,17.73264193534851,1.4025580883026123,1.2725,53.94,54.22,0.000276,0.000345,0.000345,128,0.118,0.127,5.0
38042,10,70,2,256,1.685539722442627,9.842211723327637,1.478198528289795,1.224,55.7,58.0,0.000461,0.000459,0.000459,256,0.13,0.106,5.0
38042,10,70,3,64,1.6828246116638184,35.48472356796265,1.4878675937652588,1.1909,57.14,56.96,0.00026,0.000259,0.000259,64,0.15,0.079,5.0
38042,10,70,4,128,1.6771626472473145,17.35401487350464,1.3437774181365967,1.2134,56.41,57.46,0.000353,0.000351,0.000351,128,0.118,0.127,5.0
38042,11,70,0,64,1.6840169429779053,34.35358452796936,1.3967151641845703,1.1659,58.14,58.54,0.000187,0.000185,0.000185,64,,,
