seed,epoch,epoch_total,member,train_batch_size,data_build_s,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,lr_sched_start,lr_sched_end,pbt_lr,pbt_batch_size,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs
38042,17,60,1,64,1.69339919090271,68.62159323692322,12.924057960510254,0.5875,79.39,78.22,3.45e-05,6.89e-05,6.89e-05,64,0.283,0.18,5.0
38042,18,60,0,64,1.674548864364624,68.56317043304443,12.937827110290527,0.6606,76.68,77.0,0.000168,0.000165,0.000165,64,0.261,0.149,5.0
38042,18,60,1,64,1.6687991619110107,68.63129138946533,12.952988147735596,0.6053,78.83,75.85,6.89e-05,0.000103,0.000103,64,0.283,0.18,5.0
38042,19,60,0,64,1.7048485279083252,68.71970868110657,13.072609901428223,0.6411,77.27,76.48,0.000165,0.000161,0.000161,64,0.261,0.149,5.0
38042,19,60,1,64,1.6768336296081543,68.76216530799866,13.055564641952515,0.6292,77.66,76.3,0.000103,0.000138,0.000138,64,0.283,0.18,5.0
38042,20,60,0,64,1.7009375095367432,68.86498856544495,13.02570915222168,0.6219,78.31,77.16,0.000161,0.000157,0.000157,64,0.261,0.149,5.0
38042,20,60,1,64,1.6917493343353271,68.77276563644409,13.092067956924438,0.6533,77.2,75.9,0.000138,0.000172,0.000172,64,0.283,0.18,5.0
38042,21,60,0,64,1.6761691570281982,68.2665627002716,12.965763568878174,0.6023,78.67,77.94,0.000157,0.000153,0.000153,64,0.261,0.149,5.0
38042,21,60,1,128,1.6781494617462158,65.10706186294556,12.987041473388672,0.5137,81.99,80.79,9.6e-08,3.76e-05,3.76e-05,128,0.254,0.157,5.0
38042,22,60,0,64,1.677687168121338,68.5848913192749,12.876978158950806,0.5812,79.46,78.08,0.000153,0.000148,0.000148,64,0.261,0.149,5.0
38042,22,60,1,128,1.673002004623413,65.09540724754333,12.912163019180298,0.4813,83.04,80.9,3.76e-05,7.52e-05,7.52e-05,128,0.254,0.157,5.0
38042,23,60,0,64,1.6885576248168945,68.81704044342041,12.919630765914917,0.5617,80.15,79.33,0.000148,0.000144,0.000144,64,0.261,0.149,5.0
38042,23,60,1,128,1.6912047863006592,65.16574001312256,12.924389123916626,0.4866,82.71,80.92,7.52e-05,0.000113,0.000113,128,0.254,0.157,5.0
38042,24,60,0,64,1.6712760925292969,68.57553219795227,12.87954306602478,0.538,80.99,78.63,0.000144,0.000139,0.000139,64,0.261,0.149,5.0
38042,24,60,1,128,1.6651523113250732,65.2137496471405,12.865036964416504,0.4995,82.53,79.6,0.000113,0.00015,0.00015,128,0.254,0.157,5.0
38042,25,60,0,64,1.6790275573730469,68.7303819656372,12.839372873306274,0.5201,81.7,78.83,0.000139,0.000134,0.000134,64,0.261,0.149,5.0
38042,25,60,1,128,1.668513536453247,64.97574615478516,12.872079849243164,0.5154,81.88,79.39,0.00015,0.000188,0.000188,128,0.254,0.157,5.0
