seed,epoch,epoch_total,member,train_batch_size,data_build_s,lr_sched_start,lr_sched_end,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,pbt_lr,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs,pbt_batch_size
38042,1,70,0,256,3.5460891723632812,1.93e-07,3.81e-05,25.405422687530518,3.321899652481079,2.057,23.71,29.23,0.0001894099367645819,0.09616745871263249,0.12303546707184179,5,256
38042,1,70,1,256,1.7238318920135498,2.66e-07,5.25e-05,25.75702691078186,3.601759910583496,2.0295,24.16,26.76,0.0002610457762689696,0.13313120688671945,0.11955409449658805,5,256
38042,1,70,2,256,1.5835282802581787,4.75e-07,9.36e-05,26.294415950775146,2.370183229446411,2.0034,25.14,31.06,0.00046580972075259094,0.04163760518412271,0.08681703746394512,5,256
38042,1,70,3,256,1.628352165222168,3.22e-07,6.34e-05,27.5109441280365,2.49723744392395,2.02,24.33,30.7,0.0003155456675032866,0.10835600837460257,0.08252985466930329,5,256
38042,1,70,4,256,1.5791866779327393,3.64e-07,7.17e-05,26.478416919708252,2.63997483253479,2.0179,24.67,30.89,0.0003565125943597626,0.13274485841923567,0.10173156958188419,5,256
38042,2,70,0,256,1.7987675666809082,3.81e-05,7.6e-05,26.198620080947876,3.34421443939209,1.8346,31.91,32.81,0.0001894099367645819,0.09616745871263249,0.12303546707184179,5,256
38042,2,70,1,256,1.578632116317749,5.25e-05,0.000105,26.857284784317017,2.392772912979126,1.8233,32.16,34.39,0.0002610457762689696,0.13313120688671945,0.11955409449658805,5,256
38042,2,70,2,256,1.5696895122528076,9.36e-05,0.000187,26.443373203277588,2.328333854675293,1.7813,33.75,36.97,0.00046580972075259094,0.04163760518412271,0.08681703746394512,5,256
38042,2,70,3,256,1.6473164558410645,6.34e-05,0.000127,27.117501497268677,2.403663396835327,1.7936,33.27,35.38,0.0003155456675032866,0.10835600837460257,0.08252985466930329,5,256
38042,2,70,4,256,1.7430977821350098,7.17e-05,0.000143,26.333080768585205,3.366640329360962,1.7915,32.92,34.58,0.0003565125943597626,0.13274485841923567,0.10173156958188419,5,256
38042,3,70,0,256,1.7026135921478271,7.6e-05,0.000114,27.295818567276,2.4299874305725098,1.7182,36.18,37.19,0.0001894099367645819,0.09616745871263249,0.12303546707184179,5,256
38042,3,70,1,256,1.5723297595977783,0.000105,0.000157,26.80718970298767,2.3265390396118164,1.7006,37.37,37.63,0.0002610457762689696,0.13313120688671945,0.11955409449658805,5,256
38042,3,70,2,256,1.6420097351074219,0.000187,0.00028,26.62809681892395,2.439288854598999,1.6424,39.53,41.34,0.00046580972075259094,0.04163760518412271,0.08681703746394512,5,256
38042,3,70,3,256,1.5742340087890625,0.000127,0.00019,26.694780826568604,2.422863006591797,1.6828,37.69,38.44,0.0003155456675032866,0.10835600837460257,0.08252985466930329,5,256
38042,3,70,4,256,1.7702529430389404,0.000143,0.000214,26.22753930091858,3.618593215942383,1.6668,37.99,39.95,0.0003565125943597626,0.13274485841923567,0.10173156958188419,5,256
38042,4,70,0,256,1.610398292541504,0.000114,0.000152,26.723716497421265,2.4094998836517334,1.6263,40.22,43.06,0.0001894099367645819,0.09616745871263249,0.12303546707184179,5,256
38042,4,70,1,256,1.603882074356079,0.000157,0.000209,26.659944772720337,2.3617961406707764,1.6066,40.89,43.07,0.0002610457762689696,0.13313120688671945,0.11955409449658805,5,256
38042,4,70,2,256,1.5701782703399658,0.00028,0.000373,26.873714447021484,2.410067081451416,1.5269,44.48,47.09,0.00046580972075259094,0.04163760518412271,0.08681703746394512,5,256
38042,4,70,3,256,1.6357676982879639,0.00019,0.000253,26.98317813873291,2.837476968765259,1.5748,41.89,43.19,0.0003155456675032866,0.10835600837460257,0.08252985466930329,5,256
38042,4,70,4,256,1.7666780948638916,0.000214,0.000286,26.226388692855835,3.189103364944458,1.547,43.58,44.31,0.0003565125943597626,0.13274485841923567,0.10173156958188419,5,256
38042,5,70,0,256,1.661055564880371,0.000152,0.000189,27.270741939544678,2.609376907348633,1.528,44.21,46.53,0.0001894099367645819,0.09616745871263249,0.12303546707184179,5,256
38042,5,70,1,256,1.6209733486175537,0.000209,0.000261,27.47381854057312,2.475825786590576,1.5116,44.7,44.91,0.0002610457762689696,0.13313120688671945,0.11955409449658805,5,256
38042,5,70,2,256,1.6257998943328857,0.000373,0.000466,27.498345613479614,2.9491682052612305,1.4534,47.18,48.68,0.00046580972075259094,0.04163760518412271,0.08681703746394512,5,256
38042,5,70,3,256,1.7792110443115234,0.000253,0.000316,27.068382740020752,3.0401952266693115,1.4833,45.85,47.68,0.0003155456675032866,0.10835600837460257,0.08252985466930329,5,256
38042,5,70,4,256,1.667367696762085,0.000286,0.000357,27.639610290527344,2.465087413787842,1.4734,46.52,44.61,0.0003565125943597626,0.13274485841923567,0.10173156958188419,5,256
38042,6,70,0,256,1.6011605262756348,0.000189,0.000189,27.95625615119934,2.5261919498443604,1.4454,47.27,46.13,0.0001894099367645819,0.09616745871263249,0.12303546707184179,5,256
38042,6,70,1,256,1.6425464153289795,0.000261,0.000261,27.464502573013306,3.380974531173706,1.4345,47.86,50.39,0.0002610457762689696,0.13313120688671945,0.11955409449658805,5,256
38042,6,70,2,256,1.6795318126678467,0.000466,0.000466,28.05703616142273,2.5337133407592773,1.3918,49.58,51.82,0.00046580972075259094,0.04163760518412271,0.08681703746394512,5,256
38042,6,70,3,256,1.687096118927002,0.000316,0.000315,27.70718288421631,2.4524333477020264,1.4075,48.79,50.07,0.0003155456675032866,0.10835600837460257,0.08252985466930329,5,256
