seed,epoch,epoch_total,member,train_batch_size,data_build_s,lr_sched_start,lr_sched_end,train_time_s,eval_time_s,loss,train_acc_pct,test_acc_pct,pbt_lr,pbt_weight_decay,pbt_drop_path,pbt_warmup_epochs,pbt_batch_size
38042,1,70,0,256,7.242753505706787,1.93e-07,3.81e-05,25.36372184753418,2.166985034942627,2.0628,22.78,30.97,0.0001894099367645819,0.2929517642793557,0.30758866767960447,5,256
38042,1,70,1,256,1.5984299182891846,2.66e-07,5.25e-05,24.825141429901123,3.0643370151519775,2.04,23.8,31.2,0.0002610457762689696,0.4351200264873825,0.2988852362414701,5,256
38042,1,70,2,256,1.541123628616333,4.75e-07,9.36e-05,25.769479751586914,2.3147547245025635,2.0106,25.24,31.66,0.00046580972075259094,0.08322155840047196,0.21704259365986278,5,256
38042,1,70,3,256,1.7199785709381104,3.22e-07,6.34e-05,25.652008533477783,3.868828296661377,2.0363,23.82,29.31,0.0003155456675032866,0.3398308014407791,0.20632463667325823,5,256
38042,1,70,4,256,1.585087776184082,3.64e-07,7.17e-05,26.570323944091797,2.7362070083618164,2.0207,24.57,30.69,0.0003565125943597626,0.4336340708432141,0.25432892395471046,5,256
38042,2,70,0,256,1.6759214401245117,3.81e-05,7.6e-05,25.936567068099976,3.0439140796661377,1.8502,31.74,33.81,0.0001894099367645819,0.2929517642793557,0.30758866767960447,5,256
38042,2,70,1,256,1.7143490314483643,5.25e-05,0.000105,26.27248787879944,2.819484233856201,1.8282,31.85,35.32,0.0002610457762689696,0.4351200264873825,0.2988852362414701,5,256
38042,2,70,2,256,1.601736307144165,9.36e-05,0.000187,26.230271816253662,2.2516586780548096,1.7839,33.61,33.85,0.00046580972075259094,0.08322155840047196,0.21704259365986278,5,256
38042,2,70,3,256,1.5920865535736084,6.34e-05,0.000127,26.06878972053528,2.286827564239502,1.8146,32.42,35.16,0.0003155456675032866,0.3398308014407791,0.20632463667325823,5,256
38042,2,70,4,256,1.5985796451568604,7.17e-05,0.000143,25.8381609916687,2.3024559020996094,1.7982,33.1,36.44,0.0003565125943597626,0.4336340708432141,0.25432892395471046,5,256
38042,3,70,0,256,1.5978918075561523,7.6e-05,0.000114,25.503695011138916,2.2233541011810303,1.7476,35.22,36.24,0.0001894099367645819,0.2929517642793557,0.30758866767960447,5,256
38042,3,70,1,256,1.699404239654541,0.000105,0.000157,24.811631202697754,2.8362815380096436,1.7242,35.94,39.24,0.0002610457762689696,0.4351200264873825,0.2988852362414701,5,256
38042,3,70,2,256,1.7234492301940918,0.000187,0.00028,24.038562774658203,3.36803936958313,1.6633,38.51,40.35,0.00046580972075259094,0.08322155840047196,0.21704259365986278,5,256
38042,3,70,3,256,1.578310489654541,0.000127,0.00019,24.316356897354126,2.78167462348938,1.695,37.16,40.98,0.0003155456675032866,0.3398308014407791,0.20632463667325823,5,256
38042,3,70,4,256,1.5775082111358643,0.000143,0.000214,25.170960903167725,2.300874710083008,1.6914,37.0,39.69,0.0003565125943597626,0.4336340708432141,0.25432892395471046,5,256
38042,4,70,0,256,1.5914392471313477,0.000114,0.000152,25.073079586029053,2.2448108196258545,1.6573,38.77,40.28,0.0001894099367645819,0.2929517642793557,0.30758866767960447,5,256
38042,4,70,1,256,1.581028938293457,0.000157,0.000209,24.912885904312134,2.201359510421753,1.6292,40.02,42.71,0.0002610457762689696,0.4351200264873825,0.2988852362414701,5,256
38042,4,70,2,256,1.5854201316833496,0.00028,0.000373,25.261857271194458,2.2140069007873535,1.5588,42.81,46.64,0.00046580972075259094,0.08322155840047196,0.21704259365986278,5,256
38042,4,70,3,256,1.58115816116333,0.00019,0.000253,25.673259258270264,2.27079176902771,1.5848,41.49,44.39,0.0003155456675032866,0.3398308014407791,0.20632463667325823,5,256
38042,4,70,4,256,1.6006391048431396,0.000214,0.000286,25.35696005821228,2.2951228618621826,1.5892,41.58,44.06,0.0003565125943597626,0.4336340708432141,0.25432892395471046,5,256
38042,5,70,0,256,1.7346649169921875,0.000152,0.000189,24.576084852218628,2.937455177307129,1.5708,42.39,46.36,0.0001894099367645819,0.2929517642793557,0.30758866767960447,5,256
38042,5,70,1,256,1.6843218803405762,0.000209,0.000261,24.209485292434692,3.0987954139709473,1.5315,44.28,47.1,0.0002610457762689696,0.4351200264873825,0.2988852362414701,5,256
38042,5,70,2,256,1.5689778327941895,0.000373,0.000466,25.22209119796753,2.2859597206115723,1.4834,45.72,48.2,0.00046580972075259094,0.08322155840047196,0.21704259365986278,5,256
