Seed,Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc,LR,WD,Time_Sec
38042,0,1.9745713364028932,0.24418,1.8507481851577758,0.3037,0.0002640000020619482,0.0698980987071991,18.16031050682068
38042,1,1.7574975048065185,0.33738,1.649261349105835,0.3955,0.0002640000020619482,0.0698980987071991,17.65161442756653
38042,2,1.6715740829467773,0.37938,1.6173555166244507,0.4114,0.00021120000747032464,0.06990145146846771,18.207045793533325
38042,3,1.6090016937637328,0.40544,1.5694923875808715,0.4291,0.00021120000747032464,0.06990145146846771,18.395643711090088
38042,4,1.5670600274658204,0.42148,1.5530933616638183,0.4391,0.00016896000306587666,0.06985867023468018,18.897472381591797
38042,5,1.519439139099121,0.44184,1.4389693397521972,0.4842,0.00016896000306587666,0.06985867023468018,18.58461093902588
38042,6,1.4903883660507202,0.45172,1.4109487478256226,0.4818,0.00013516799663193524,0.06986486911773682,18.383531093597412
38042,7,1.460684129676819,0.4661,1.439459407043457,0.4717,0.00013516799663193524,0.06986486911773682,18.497061491012573
38042,8,1.4397232320404052,0.4743,1.4051545791625977,0.4884,0.00016220159886870533,0.06990422308444977,18.802555799484253
38042,9,1.429944343032837,0.47986,1.387281823539734,0.5009,0.00016220159886870533,0.06990422308444977,18.550002336502075
38042,10,1.4172297597503662,0.48312,1.3921711378097534,0.4983,0.00012976127618458122,0.06990896910429001,18.615904092788696
38042,11,1.3860465451812745,0.49644,1.3574586183547974,0.5103,0.00012976127618458122,0.06990896910429001,18.89989161491394
38042,12,1.3761127709197998,0.49924,1.379097498893738,0.5029,0.00015571352560073137,0.06992612034082413,19.210014820098877
38042,13,1.3687467162704468,0.49918,1.351499967956543,0.5117,0.00015571352560073137,0.06992612034082413,18.56352686882019
38042,14,1.359161390914917,0.5054,1.3921286727905273,0.5009,0.0001245708263013512,0.06993210315704346,18.548444271087646
38042,15,1.3332430776214599,0.51608,1.3111665952682494,0.5253,0.0001245708263013512,0.06993210315704346,18.5449481010437
38042,16,1.3195208710098267,0.51924,1.3196100664138795,0.522,0.00014948498574085534,0.06992949545383453,18.792587995529175
38042,17,1.3240165630340577,0.5182,1.2983535385131837,0.5386,0.00014948498574085534,0.06992949545383453,18.575117588043213
38042,18,1.310469528503418,0.5263,1.2989221839904785,0.5329,0.00011958798859268427,0.06993965059518814,18.58688712120056
38042,19,1.2812714597320556,0.53304,1.2992448366165161,0.5329,0.00011958798859268427,0.06993965059518814,18.652032375335693
38042,20,1.2697791379547119,0.53868,1.2900597133636476,0.5384,9.567038796376437e-05,0.06991754472255707,18.607412815093994
38042,21,1.250860602645874,0.54514,1.2628312311172485,0.5423,9.567038796376437e-05,0.06991754472255707,18.534876346588135
38042,22,1.2383345930099487,0.55386,1.2439791301727294,0.5529,0.00011480446846690029,0.06987488269805908,18.598615646362305
38042,23,1.2372393088912963,0.5512,1.224748250579834,0.5601,0.00011480446846690029,0.06987488269805908,18.499566555023193
38042,24,1.2318470963287353,0.55176,1.2425385980606078,0.5535,9.184357622871175e-05,0.0698697566986084,18.728591203689575
38042,25,1.2138777645492553,0.56262,1.2195472427368164,0.5643,9.184357622871175e-05,0.0698697566986084,18.665431022644043
38042,26,1.1985921085357667,0.56598,1.2240770195007324,0.5644,0.0001102122914744541,0.06988894194364548,18.54647397994995
38042,27,1.2050733044433595,0.5663,1.2078958280563354,0.5707,0.0001102122914744541,0.06988894194364548,18.56856918334961
38042,28,1.195032456741333,0.56858,1.2026092905044556,0.5724,8.816983608994633e-05,0.06988441199064255,18.565770864486694
