epoch 048/70 | loss 0.3800 | train_acc 86.44% | test_acc 78.18% | dl_time 0.81s | train_time 2.93s | eval_time 0.45s
epoch 049/70 | loss 0.3674 | train_acc 87.04% | test_acc 78.31% | dl_time 0.81s | train_time 2.92s | eval_time 0.44s
epoch 050/70 | loss 0.3560 | train_acc 87.38% | test_acc 78.42% | dl_time 0.81s | train_time 2.92s | eval_time 0.44s
epoch 051/70 | loss 0.3443 | train_acc 87.82% | test_acc 78.56% | dl_time 0.81s | train_time 2.90s | eval_time 0.44s
epoch 052/70 | loss 0.3364 | train_acc 88.20% | test_acc 78.61% | dl_time 0.81s | train_time 2.88s | eval_time 0.44s
epoch 053/70 | loss 0.3232 | train_acc 88.59% | test_acc 78.86% | dl_time 0.81s | train_time 2.90s | eval_time 0.44s
epoch 054/70 | loss 0.3137 | train_acc 88.96% | test_acc 79.23% | dl_time 0.81s | train_time 2.98s | eval_time 0.44s
epoch 055/70 | loss 0.3016 | train_acc 89.43% | test_acc 78.92% | dl_time 0.81s | train_time 2.91s | eval_time 0.44s
epoch 056/70 | loss 0.2970 | train_acc 89.52% | test_acc 78.73% | dl_time 0.81s | train_time 2.88s | eval_time 0.44s
epoch 057/70 | loss 0.2858 | train_acc 89.92% | test_acc 78.81% | dl_time 0.81s | train_time 3.02s | eval_time 0.45s
epoch 058/70 | loss 0.2774 | train_acc 90.21% | test_acc 79.16% | dl_time 0.81s | train_time 2.87s | eval_time 0.44s
epoch 059/70 | loss 0.2696 | train_acc 90.58% | test_acc 79.32% | dl_time 0.81s | train_time 2.86s | eval_time 0.44s
epoch 060/70 | loss 0.2607 | train_acc 90.85% | test_acc 79.28% | dl_time 0.81s | train_time 2.89s | eval_time 0.44s
epoch 061/70 | loss 0.2541 | train_acc 91.10% | test_acc 78.96% | dl_time 0.81s | train_time 2.87s | eval_time 0.43s
epoch 062/70 | loss 0.2483 | train_acc 91.28% | test_acc 78.74% | dl_time 0.81s | train_time 2.83s | eval_time 0.43s
epoch 063/70 | loss 0.2396 | train_acc 91.70% | test_acc 79.39% | dl_time 0.81s | train_time 2.85s | eval_time 0.44s
epoch 064/70 | loss 0.2349 | train_acc 91.74% | test_acc 79.29% | dl_time 0.81s | train_time 2.83s | eval_time 0.44s
epoch 065/70 | loss 0.2308 | train_acc 91.92% | test_acc 78.78% | dl_time 0.81s | train_time 2.86s | eval_time 0.44s
epoch 066/70 | loss 0.2230 | train_acc 92.10% | test_acc 79.12% | dl_time 0.81s | train_time 2.84s | eval_time 0.43s
epoch 067/70 | loss 0.2176 | train_acc 92.39% | test_acc 79.04% | dl_time 0.81s | train_time 2.84s | eval_time 0.43s
epoch 068/70 | loss 0.2177 | train_acc 92.39% | test_acc 79.28% | dl_time 0.81s | train_time 2.89s | eval_time 0.43s
epoch 069/70 | loss 0.2121 | train_acc 92.50% | test_acc 78.69% | dl_time 0.81s | train_time 2.98s | eval_time 0.47s
epoch 070/70 | loss 0.2090 | train_acc 92.66% | test_acc 79.39% | dl_time 0.81s | train_time 2.98s | eval_time 0.45s

================================================================
run 2/27 | lr=0.0001 wd=0.02 bs=256 drop_path_rate=0.1
================================================================
epoch 001/70 | loss 2.2608 | train_acc 14.44% | test_acc 15.80% | dl_time 0.78s | train_time 3.07s | eval_time 0.43s
epoch 002/70 | loss 1.9536 | train_acc 27.52% | test_acc 31.19% | dl_time 0.78s | train_time 2.95s | eval_time 0.45s
epoch 003/70 | loss 1.8021 | train_acc 33.68% | test_acc 35.83% | dl_time 0.78s | train_time 3.07s | eval_time 0.45s
epoch 004/70 | loss 1.6927 | train_acc 38.16% | test_acc 40.65% | dl_time 0.78s | train_time 3.02s | eval_time 0.43s
epoch 005/70 | loss 1.5801 | train_acc 42.45% | test_acc 44.08% | dl_time 0.78s | train_time 2.98s | eval_time 0.45s
epoch 006/70 | loss 1.4534 | train_acc 47.39% | test_acc 48.91% | dl_time 0.78s | train_time 3.19s | eval_time 0.43s
epoch 007/70 | loss 1.3442 | train_acc 51.39% | test_acc 52.02% | dl_time 0.78s | train_time 3.02s | eval_time 0.46s
epoch 008/70 | loss 1.2743 | train_acc 54.04% | test_acc 56.27% | dl_time 0.78s | train_time 3.03s | eval_time 0.44s
epoch 009/70 | loss 1.2004 | train_acc 56.85% | test_acc 58.45% | dl_time 0.78s | train_time 3.10s | eval_time 0.46s
epoch 010/70 | loss 1.1450 | train_acc 58.71% | test_acc 57.67% | dl_time 0.78s | train_time 3.12s | eval_time 0.45s
epoch 011/70 | loss 1.1081 | train_acc 60.09% | test_acc 60.83% | dl_time 0.78s | train_time 3.08s | eval_time 0.45s
epoch 012/70 | loss 1.0722 | train_acc 61.64% | test_acc 62.43% | dl_time 0.78s | train_time 3.02s | eval_time 0.45s
epoch 013/70 | loss 1.0337 | train_acc 62.94% | test_acc 62.93% | dl_time 0.78s | train_time 3.03s | eval_time 0.47s
epoch 014/70 | loss 1.0061 | train_acc 64.06% | test_acc 64.48% | dl_time 0.78s | train_time 3.05s | eval_time 0.51s
epoch 015/70 | loss 0.9735 | train_acc 65.20% | test_acc 66.28% | dl_time 0.78s | train_time 3.07s | eval_time 0.50s
epoch 016/70 | loss 0.9595 | train_acc 65.88% | test_acc 67.12% | dl_time 0.78s | train_time 3.05s | eval_time 0.53s
epoch 017/70 | loss 0.9211 | train_acc 67.07% | test_acc 67.18% | dl_time 0.78s | train_time 3.03s | eval_time 0.45s
epoch 018/70 | loss 0.9045 | train_acc 67.86% | test_acc 68.35% | dl_time 0.78s | train_time 3.05s | eval_time 0.44s
epoch 019/70 | loss 0.8917 | train_acc 68.10% | test_acc 67.97% | dl_time 0.78s | train_time 3.04s | eval_time 0.45s
epoch 020/70 | loss 0.8579 | train_acc 69.35% | test_acc 69.60% | dl_time 0.78s | train_time 3.09s | eval_time 0.44s
epoch 021/70 | loss 0.8402 | train_acc 70.16% | test_acc 70.04% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 022/70 | loss 0.8183 | train_acc 71.06% | test_acc 71.01% | dl_time 0.78s | train_time 3.05s | eval_time 0.43s
epoch 023/70 | loss 0.8035 | train_acc 71.48% | test_acc 70.36% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 024/70 | loss 0.7933 | train_acc 71.82% | test_acc 71.66% | dl_time 0.78s | train_time 3.05s | eval_time 0.46s
epoch 025/70 | loss 0.7713 | train_acc 72.67% | test_acc 71.94% | dl_time 0.78s | train_time 3.08s | eval_time 0.48s
epoch 026/70 | loss 0.7553 | train_acc 73.43% | test_acc 72.56% | dl_time 0.78s | train_time 3.14s | eval_time 0.51s
epoch 027/70 | loss 0.7355 | train_acc 73.70% | test_acc 73.48% | dl_time 0.78s | train_time 2.97s | eval_time 0.52s
epoch 028/70 | loss 0.7248 | train_acc 74.44% | test_acc 72.65% | dl_time 0.78s | train_time 3.05s | eval_time 0.52s
epoch 029/70 | loss 0.7071 | train_acc 74.82% | test_acc 73.89% | dl_time 0.78s | train_time 3.06s | eval_time 0.56s
epoch 030/70 | loss 0.6961 | train_acc 75.36% | test_acc 73.85% | dl_time 0.78s | train_time 3.35s | eval_time 0.59s
epoch 031/70 | loss 0.6837 | train_acc 75.86% | test_acc 74.93% | dl_time 0.78s | train_time 3.40s | eval_time 0.45s
epoch 032/70 | loss 0.6701 | train_acc 76.12% | test_acc 74.76% | dl_time 0.78s | train_time 3.04s | eval_time 0.46s
epoch 033/70 | loss 0.6545 | train_acc 76.76% | test_acc 74.58% | dl_time 0.78s | train_time 3.06s | eval_time 0.46s
epoch 034/70 | loss 0.6418 | train_acc 77.23% | test_acc 75.06% | dl_time 0.78s | train_time 3.01s | eval_time 0.45s
epoch 035/70 | loss 0.6301 | train_acc 77.87% | test_acc 75.84% | dl_time 0.78s | train_time 3.14s | eval_time 0.44s
epoch 036/70 | loss 0.6174 | train_acc 78.12% | test_acc 75.89% | dl_time 0.78s | train_time 3.03s | eval_time 0.44s
epoch 037/70 | loss 0.6096 | train_acc 78.49% | test_acc 76.87% | dl_time 0.78s | train_time 3.02s | eval_time 0.45s
epoch 038/70 | loss 0.5938 | train_acc 79.00% | test_acc 76.46% | dl_time 0.78s | train_time 3.03s | eval_time 0.44s
epoch 039/70 | loss 0.5778 | train_acc 79.53% | test_acc 76.27% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 040/70 | loss 0.5712 | train_acc 79.74% | test_acc 76.69% | dl_time 0.78s | train_time 3.03s | eval_time 0.44s
epoch 041/70 | loss 0.5617 | train_acc 80.18% | test_acc 76.30% | dl_time 0.78s | train_time 3.04s | eval_time 0.44s
epoch 042/70 | loss 0.5546 | train_acc 80.16% | test_acc 76.23% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 043/70 | loss 0.5434 | train_acc 80.83% | test_acc 77.00% | dl_time 0.78s | train_time 3.04s | eval_time 0.44s
epoch 044/70 | loss 0.5297 | train_acc 81.20% | test_acc 77.50% | dl_time 0.78s | train_time 3.05s | eval_time 0.45s
epoch 045/70 | loss 0.5212 | train_acc 81.67% | test_acc 77.87% | dl_time 0.78s | train_time 3.04s | eval_time 0.44s
epoch 046/70 | loss 0.5058 | train_acc 82.23% | test_acc 78.12% | dl_time 0.78s | train_time 3.03s | eval_time 0.44s
epoch 047/70 | loss 0.5015 | train_acc 82.23% | test_acc 77.55% | dl_time 0.78s | train_time 3.04s | eval_time 0.44s
epoch 048/70 | loss 0.4928 | train_acc 82.60% | test_acc 77.78% | dl_time 0.78s | train_time 3.04s | eval_time 0.45s
epoch 049/70 | loss 0.4784 | train_acc 83.02% | test_acc 77.90% | dl_time 0.78s | train_time 3.05s | eval_time 0.44s
epoch 050/70 | loss 0.4695 | train_acc 83.50% | test_acc 78.32% | dl_time 0.78s | train_time 3.03s | eval_time 0.45s
epoch 051/70 | loss 0.4622 | train_acc 83.47% | test_acc 78.23% | dl_time 0.78s | train_time 3.02s | eval_time 0.45s
epoch 052/70 | loss 0.4549 | train_acc 83.82% | test_acc 78.38% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 053/70 | loss 0.4470 | train_acc 84.24% | test_acc 78.27% | dl_time 0.78s | train_time 3.03s | eval_time 0.44s
epoch 054/70 | loss 0.4387 | train_acc 84.57% | test_acc 79.25% | dl_time 0.78s | train_time 3.02s | eval_time 0.45s
epoch 055/70 | loss 0.4350 | train_acc 84.63% | test_acc 79.04% | dl_time 0.78s | train_time 3.00s | eval_time 0.44s
epoch 056/70 | loss 0.4231 | train_acc 85.08% | test_acc 79.31% | dl_time 0.78s | train_time 3.05s | eval_time 0.44s
epoch 057/70 | loss 0.4137 | train_acc 85.35% | test_acc 78.89% | dl_time 0.78s | train_time 3.03s | eval_time 0.44s
epoch 058/70 | loss 0.4097 | train_acc 85.45% | test_acc 79.23% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 059/70 | loss 0.3998 | train_acc 85.96% | test_acc 78.94% | dl_time 0.78s | train_time 3.01s | eval_time 0.45s
epoch 060/70 | loss 0.3970 | train_acc 85.91% | test_acc 79.38% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 061/70 | loss 0.3876 | train_acc 86.46% | test_acc 78.95% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 062/70 | loss 0.3858 | train_acc 86.45% | test_acc 79.21% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 063/70 | loss 0.3793 | train_acc 86.67% | test_acc 79.41% | dl_time 0.78s | train_time 3.05s | eval_time 0.44s
epoch 064/70 | loss 0.3739 | train_acc 86.93% | test_acc 79.29% | dl_time 0.78s | train_time 3.00s | eval_time 0.45s
epoch 065/70 | loss 0.3724 | train_acc 86.95% | test_acc 79.38% | dl_time 0.78s | train_time 3.02s | eval_time 0.45s
epoch 066/70 | loss 0.3665 | train_acc 86.93% | test_acc 79.49% | dl_time 0.78s | train_time 3.02s | eval_time 0.45s
epoch 067/70 | loss 0.3605 | train_acc 87.34% | test_acc 79.74% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 068/70 | loss 0.3615 | train_acc 87.20% | test_acc 79.49% | dl_time 0.78s | train_time 3.03s | eval_time 0.45s
epoch 069/70 | loss 0.3625 | train_acc 87.08% | test_acc 79.57% | dl_time 0.78s | train_time 3.05s | eval_time 0.44s
epoch 070/70 | loss 0.3557 | train_acc 87.50% | test_acc 79.59% | dl_time 0.78s | train_time 3.03s | eval_time 0.45s

================================================================
run 3/27 | lr=0.0001 wd=0.02 bs=256 drop_path_rate=0.2
================================================================
epoch 001/70 | loss 2.3122 | train_acc 11.27% | test_acc 15.37% | dl_time 0.78s | train_time 3.03s | eval_time 0.44s
epoch 002/70 | loss 1.9618 | train_acc 26.77% | test_acc 30.36% | dl_time 0.78s | train_time 3.03s | eval_time 0.45s
epoch 003/70 | loss 1.7988 | train_acc 33.32% | test_acc 36.43% | dl_time 0.78s | train_time 3.04s | eval_time 0.45s
epoch 004/70 | loss 1.6904 | train_acc 37.92% | test_acc 39.43% | dl_time 0.78s | train_time 3.01s | eval_time 0.45s
epoch 005/70 | loss 1.5666 | train_acc 42.74% | test_acc 44.37% | dl_time 0.78s | train_time 3.04s | eval_time 0.44s
epoch 006/70 | loss 1.4500 | train_acc 47.29% | test_acc 48.41% | dl_time 0.78s | train_time 3.04s | eval_time 0.45s
epoch 007/70 | loss 1.3525 | train_acc 50.87% | test_acc 50.68% | dl_time 0.78s | train_time 3.02s | eval_time 0.45s
epoch 008/70 | loss 1.2746 | train_acc 53.96% | test_acc 55.06% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 009/70 | loss 1.2179 | train_acc 55.91% | test_acc 57.81% | dl_time 0.78s | train_time 3.04s | eval_time 0.44s
epoch 010/70 | loss 1.1619 | train_acc 58.31% | test_acc 58.86% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 011/70 | loss 1.1279 | train_acc 59.53% | test_acc 60.23% | dl_time 0.78s | train_time 3.06s | eval_time 0.45s
epoch 012/70 | loss 1.0808 | train_acc 61.18% | test_acc 62.64% | dl_time 0.78s | train_time 3.05s | eval_time 0.44s
epoch 013/70 | loss 1.0551 | train_acc 62.28% | test_acc 61.82% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 014/70 | loss 1.0255 | train_acc 63.27% | test_acc 64.13% | dl_time 0.78s | train_time 2.99s | eval_time 0.44s
epoch 015/70 | loss 0.9957 | train_acc 64.43% | test_acc 63.14% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 016/70 | loss 0.9699 | train_acc 65.08% | test_acc 67.45% | dl_time 0.78s | train_time 3.00s | eval_time 0.44s
epoch 017/70 | loss 0.9508 | train_acc 66.29% | test_acc 67.45% | dl_time 0.78s | train_time 2.97s | eval_time 0.45s
epoch 018/70 | loss 0.9314 | train_acc 66.88% | test_acc 67.31% | dl_time 0.78s | train_time 2.98s | eval_time 0.44s
epoch 019/70 | loss 0.9079 | train_acc 67.58% | test_acc 69.03% | dl_time 0.78s | train_time 2.99s | eval_time 0.44s
epoch 020/70 | loss 0.8835 | train_acc 68.24% | test_acc 69.42% | dl_time 0.78s | train_time 2.99s | eval_time 0.44s
epoch 021/70 | loss 0.8681 | train_acc 69.10% | test_acc 69.80% | dl_time 0.78s | train_time 3.00s | eval_time 0.44s
epoch 022/70 | loss 0.8523 | train_acc 69.66% | test_acc 70.44% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
epoch 023/70 | loss 0.8378 | train_acc 70.07% | test_acc 71.27% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 024/70 | loss 0.8166 | train_acc 71.11% | test_acc 70.46% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 025/70 | loss 0.7958 | train_acc 71.63% | test_acc 72.60% | dl_time 0.78s | train_time 3.00s | eval_time 0.45s
epoch 026/70 | loss 0.7803 | train_acc 72.09% | test_acc 71.97% | dl_time 0.78s | train_time 3.00s | eval_time 0.45s
epoch 027/70 | loss 0.7678 | train_acc 72.84% | test_acc 73.56% | dl_time 0.78s | train_time 3.00s | eval_time 0.44s
epoch 028/70 | loss 0.7577 | train_acc 72.96% | test_acc 72.63% | dl_time 0.78s | train_time 2.99s | eval_time 0.44s
epoch 029/70 | loss 0.7424 | train_acc 73.54% | test_acc 74.38% | dl_time 0.78s | train_time 3.02s | eval_time 0.44s
epoch 030/70 | loss 0.7306 | train_acc 74.12% | test_acc 74.05% | dl_time 0.78s | train_time 2.98s | eval_time 0.45s
epoch 031/70 | loss 0.7113 | train_acc 74.59% | test_acc 74.21% | dl_time 0.78s | train_time 2.98s | eval_time 0.44s
epoch 032/70 | loss 0.7018 | train_acc 75.20% | test_acc 74.86% | dl_time 0.78s | train_time 3.01s | eval_time 0.45s
epoch 033/70 | loss 0.6929 | train_acc 75.46% | test_acc 74.30% | dl_time 0.78s | train_time 3.00s | eval_time 0.44s
epoch 034/70 | loss 0.6816 | train_acc 75.99% | test_acc 74.67% | dl_time 0.78s | train_time 2.99s | eval_time 0.44s
epoch 035/70 | loss 0.6673 | train_acc 76.39% | test_acc 75.76% | dl_time 0.78s | train_time 2.99s | eval_time 0.44s
epoch 036/70 | loss 0.6537 | train_acc 76.87% | test_acc 75.54% | dl_time 0.78s | train_time 3.01s | eval_time 0.44s
